,debut,artist,artist_eng,member,leader,gender,agency,idol_id
0,1992.0,서태지와 아이들,SeoTaiji And Boys,3,서태지,남,요요 기획,100161
1,,더 블루,The Blue,2,손지창,남,SM 엔터테인먼트,180144
2,1993.0,잼,Zam,5,조진수,혼,DSP 미디어,101781
3,,에스오에스,S.O.S,4,,여,삼포니 레코드,
4,,듀스,DEUX,2,이현도,남,예당 음향 (예당 컴퍼니),100977
5,,노이즈,Noise,4,홍종구,남,라인 기획,100025
6,,잉크,ink,7,이상원,남,,
7,1994.0,룰라,Roo'Ra,4,이상민,혼,서울인 프로덕션,106610
8,,쿨,Cool,3 (4),김성수,혼,쿨컴퍼니,100004
9,,제트,Z,3,,남,,108871
10,1995.0,터보,Turbo,3 (2),김정남,남,더 터보 컴퍼니,100059
11,,알이에프,R.ef,3,박철우,남,팀 엔터테인먼트,100015
12,1996.0,스머프,Smurph,5,이희성,혼,,247880
13,,에이치오티,H.O.T.,5,문희준,남,SM 엔터테인먼트,100008
14,,언타이틀,Untitle,2,유건형,남,예당 음향 (예당 컴퍼니),100042
15,,하모하모,HAMO HAMO,2,이성진,남,뮤직 팩토리,100178
16,,아이돌,IDOL,2,최혁준,남,DSP 미디어,
17,,구피,Goofy,3,이승광,남,,560358
18,1997.0,태사자,Taesaja,4,김형준,남,매스컴,100096
19,,엔알지,N.R.G,3 (5),이성진,남,뮤직 팩토리,100010
20,,오피피에이,O.P.P.A,8,김영훈,남,베토벤 뮤직,100013
21,,티앤비,TNB,5,손혁,남,,101868
22,,젝스키스,Sechs Kies,6,은지원,남,YG 엔터테인먼트 (결성은 DSP 미디어),100052
23,,쎄쎄쎄,Se Se Se,3,,여,희레코드,1272877
24,,베이비복스,Baby V.O.X,5,김이지,여,DR 뮤직,216382
25,,에스이에스,S.E.S.,3,바다,여,SM 엔터테인먼트,100016
26,1998.0,원타임,1TYM,4,테디,남,YG 엔터테인먼트,100001
27,,신화,SHINHWA,6,에릭,남,신화 컴퍼니 (결성은 SM 엔터테인먼트),100078
28,,이글 파이브,Eagle Five,5,윤성준,남,,100051
29,,오피피에이 공공칠,OPPA 007,5,ㅡ,남,베토벤 뮤직,
30,,팬클럽,Fan Club,6,홍상진,남,,848990
31,,써클,Circle,5,이지현,여,조선 음향,100036
32,,쿠키,Cooki,3,유나,여,드림 엔터테인먼트,1047075
33,,핑클,Fin.K.L.,4,이효리,여,DSP 미디어,100065
34,,코요태,koyote,3,김종민,혼,KYT 엔터테인먼트,100022
35,1999.0,플라이 투 더 스카이,Fly To The Sky,2,ㅡ,남,H2 미디어 (결성은 SM 엔터테인먼트),100183
36,,에이포,A4,4,이제희,남,,100763
37,,클릭비,Click-B,7,김태형,남,DSP 미디어,100070
38,,와이투케이,Y2K,3,고재근,남,조선 음향,100021
39,,god,god,5,박준형,남,iHQ (싸이더스),100007
40,,문차일드,Moonchild,4,이수,남,GM 기획,100185
41,,오투알,O2R,5,,남,,100011
42,,씨유,See U,3,지니,여,동아 기획,549100
43,,폭스,F.O.X,4,,여,O.G SOUND,
44,,클레오,Cleo,3,김하나,여,호 엔터테인먼트,101397
45,,티티마,T.T.Ma,5,소이,여,뮤직 팩토리,100017
46,,오투포,O-24,3,이가혜,여,은성 기획,100121

